Active ingredient name - English,Active ingredient name - French,Reevaluation status,CAS number
3-METHYL-4-CHLOROPHENOL (OR: P-CHLORO-M-CRESOL),4-CHLORO-3-MÉTHYL-PHÉNOL,NO,59-50-7
"4,4'(2NITRO-2-ETHYLTRIMETHYLENE) DIMORPHOLINE","(NITRO-2 ETHYLTRIMETHYLENE)-4,4' DIMORPHOLINE",NO,
"4,5-DICHLORO-2-N-OCTYL-3(2H)-ISOTHIAZOLONE","4,5-DICHLORO-2-N-OCTYL-3(2H)-ISOTHIAZOLONE",YES,64359-81-5
4-AMINOPYRIDINE,4-AMINOPYRIDINE (N.F.),NO,504-24-5
"4-CHLORO-3,5-XYLENOL","CHLORO-4 XYLENOL-3,5 (M)",NO,88-04-0
4-CHLORO-3-METHYLPHENOL (SODIUM SALT),4-CHLORO-3-MÉTHYL PHÉNOL (PRÉSENT SOUS FORME DE SEL DE SODIUM),NO,15733-22-9
4-CHLOROINDOLE-3-ACETIC ACID,ACIDE 4-CHLOROINDOLE-3-ACÉTIQUE,NO,2519-61-1
"4-CHLOROINDOLE-3-ACETIC ACID, PRESENT AS POTASSIUM SALT","ACIDE 4-CHLOROINDOLE-3-ACÉTIQUE, PRÉSENT SOUS FORME DE SEL DE POTASSIUM",NO,
4-CPA,4-CPA,NO,122-88-3
4-NITRO-3-(TRIFLUOROMETHYL)PHENOL OR SODIUM SALT,4-NITRO-3-(TRIFLUOROMÉTHYL)PHÉNOL OU 4-NITRO-3-(TRIFLUOROMÉTHYL)PHÉNOLATE DE SODIUM,YES,88-30-2
"5,5-DIMETHYLHYDANTOIN","5,5-DIMÉTHYLHYDANTOÏNE",NO,77-71-4
"5-CHLORO-2-(2,4-DICHLOROPHENOXY)PHENOL","5-CHLORO-2-(2,4-DICHLOROPHENOXY)PHENOL",NO,3380-34-5
5-CHLORO-2-METHYL-4-ISOTHIAZOLIN-3-ONE,5-CHLORO-2-MÉTHYL-4-ISOTHIAZOLIN-3-ONE,YES,26172-55-4
"5BETA-ANDROSTAN-3ALPHA, 17BETA-DIOL-11-ONE-17-SULPHATE, SODIUM SALT","5BETA-ANDROSTAN-3ALPHA, 17BETA-DIOL-11-ONE-17-SULPHATE, SODIUM SALT",NO,
"5BETA-ANDROSTAN-3ALPHA-0L-11,17-DIONE","5BETA-ANDROSTAN-3ALPHA-0L-11,17-DIONE",NO,739-27-5
"5BETA-ANDROSTAN-3ALPHA-OL-11, 17-DIONE
GLUCOSIDURONATE","5BETA-ANDROSTAN-3ALPHA-OL-11, 17-DIONE
GLUCOSIDURONATE",NO,17181-16-7
"5BETA-ANDROSTAN-3ALPHA-OL-11, 17-DIONE,SULPHATE, SODIUM SALT","5BETA-ANDROSTAN-3ALPHA-OL-11, 17-DIONE,SULPHATE, SODIUM SALT",NO,
6-BENZYLAMINOPURINE (OR: 6-BENZYLADENINE),BENZYL ADÉNINE (N.F.),YES,1214-39-7
"8,10-DODECADIEN-1-OL, 1ACETATE, (E,E)-","8,10-DODECADIEN-1-OL, 1ACÉTATE, (E,E)-",NO,53880-51-6
98SUMITHRIN,98SUMITHRIN,NO,
ABAMECTIN,ABAMECTINE (N.F.),NO,71751-41-2
ACEPHATE,ACÉPHATE (N.M.),YES,30560-19-1
"ACEQUINOCYL
",ACÉQUINOCYLE (N.M.),YES,57960-19-7
ACETAMIPRID,ACÉTAMIPRIDE (N.M.),YES,135410-20-7
ACETIC ACID,ACIDE ACÉTIQUE (N.M.),NO,64-19-7
ACETOCHLOR,ACÉTOCHLORE,NO,34256-82-1
ACIBENZOLAR-S-METHYL,ACIBENZOLAR-S-MÉTHYLE (N.M.),NO,135158-54-2
ACIFLUORFEN (PRESENT AS SODIUM SALT),ACIFLUORFÈNE (N.M.) (PRÉSENT SOUS FORME DE SEL DE SODIUM),YES,62476-59-9
ACROLEIN,ACROLÉINE (N.F.),NO,107-02-8
ACTIVE RECORD CREATED BY THE VAX/INGRES TO ORACLE MIGRATION JUNE 1999. NON-EXISTENT ACTIVE WAS BEING REFERRED TO BY RELATED RECORDS.,ACTIVE RECORD CREATED BY THE VAX/INGRES TO ORACLE MIGRATION JUNE 1999. NON-EXISTENT ACTIVE WAS BEING REFERRED TO BY RELATED RECORDS.,NO,
ACYNONAPYR,ACYNONAPYR,NO,1332838-17-1
AFIDOPYROPEN,AFIDOPYROPÈNE (N.M.),NO,915972-17-7
AGROBACTERIUM RADIOBACTER,AGROBACTERIUM RADIOBACTER,NO,
AKANTHOMYCES MUSCARIUS STRAIN VE6,AKANTHOMYCES MUSCARIUS SOUCHE VE6,NO,
ALCOHOL ETHOXYLATE,ALCOOL ÉTHOXYLÉ,NO,68439-46-3
"ALCOHOLS, C10-16, ETHOXYLATED",ALCOOLS EN C1-16 ÉTHOXYLÉS,NO,68002-97-1
ALDICARB,ALDICARBE (M),NO,116-06-3
ALDRIN,ALDRINE (M),NO,309-00-2
ALKANOLAMINE SALTS OF FATTY ACIDS,SELS ALCONOLAMINÉS D?ACIDES GRAS,NO,
"ALKYL (67% C18, 33% C14) DODECYLBENZYL DIMETHYL AMMONIUM CHLORIDE","CHLORURE D'ALKYL (67% C-18,33% C-14) DODECYLBENZYL DIMETHYLE",NO,
"ALKYL MORPHOLINIUM ETHOSULPHATE (1% C14, 22% C16, 77% C18)","ETHOSULFATE (1% C14, 22% C16, 77% C18)D'ALKYL MORPHOLINIUM",NO,
"ALKYL(40% C12, 50% C14, 10% C16)DIMETHYLBENZYLAMMONIUM CHLORIDE","CHLORURE N-ALKYL (40% C12, 50% C14, 10% C16) DIMÉTHYL BENZYL AMMONIUM",YES,68424-85-1
ALLETHRIN,ALLETHRINE (F),NO,584-79-2
ALPHA-CYPERMETHRIN,ALPHA-CYPERMETHRINE (F),NO,67375-30-8
ALUMINUM PHOSPHIDE,PHOSPHURE D'ALUMINIUM (N.M.),NO,20859-73-8
AMETOCTRADIN,AMÉTOCTRADINE (N.F.),NO,865318-97-4
AMINOCARB,AMINOCARBE (M),NO,2032-59-9
AMINOCYCLOPYRACHLOR,AMINOCYCLOPYRACHLORE (N.M.),NO,858956-08-8
AMINOCYCLOPYRACHLOR POTASSIUM SALT,AMINOCYCLOPYRACHLORE SEL DE POTASSIUM (N.M.),NO,858956-35-1
AMINOPYRALID,AMINOPYRALIDE (N.M.),YES,150114-71-9
